GPS,Latitude,Longitude,Speed,RPM,Date,Time
GPS2,48.781948,11.474873,0.000000,0,14-4-2023,10:48:52
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:48
GPS1,48.781948,11.474968,0.041156,0,14-4-2023,10:48:48
GPS2,48.781948,11.474873,0.000000,0,14-4-2023,10:48:52
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:48
GPS1,48.781948,11.474968,0.041156,0,14-4-2023,10:48:48
GPS2,48.781948,11.474873,0.010289,0,14-4-2023,10:48:53
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:49
GPS1,48.781948,11.474969,0.015433,0,14-4-2023,10:48:49
GPS2,48.781948,11.474873,0.010289,0,14-4-2023,10:48:53
GPS3,48.781948,11.474881,0.000000,0,14-4-2023,10:48:49
GPS1,48.781948,11.474969,0.015433,0,14-4-2023,10:48:49
GPS2,48.781944,11.474873,0.010289,0,14-4-2023,10:48:54
GPS3,48.781944,11.474881,0.005144,0,14-4-2023,10:48:50
GPS1,48.781948,11.474970,0.036011,0,14-4-2023,10:48:50
GPS2,48.781944,11.474873,0.010289,0,14-4-2023,10:48:54
GPS3,48.781944,11.474881,0.005144,0,14-4-2023,10:48:50
GPS1,48.781948,11.474970,0.036011,0,14-4-2023,10:48:50
GPS2,48.781944,11.474873,0.020578,0,14-4-2023,10:48:55
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:51
GPS1,48.781944,11.474975,0.385833,0,14-4-2023,10:48:51
GPS2,48.781944,11.474873,0.020578,0,14-4-2023,10:48:55
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:51
GPS1,48.781944,11.474975,0.385833,0,14-4-2023,10:48:51
GPS2,48.781944,11.474872,0.005144,0,14-4-2023,10:48:56
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:52
GPS1,48.781944,11.474978,0.082311,0,14-4-2023,10:48:52
GPS2,48.781944,11.474872,0.005144,0,14-4-2023,10:48:56
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:52
GPS1,48.781944,11.474978,0.082311,0,14-4-2023,10:48:52
GPS2,48.781940,11.474870,0.010289,0,14-4-2023,10:48:57
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:53
GPS1,48.781944,11.474980,0.015433,0,14-4-2023,10:48:53
GPS2,48.781940,11.474870,0.010289,0,14-4-2023,10:48:57
GPS3,48.781944,11.474881,0.000000,0,14-4-2023,10:48:53
GPS1,48.781944,11.474980,0.015433,0,14-4-2023,10:48:53
GPS2,48.781936,11.474869,0.010289,0,14-4-2023,10:48:58
GPS3,48.781944,11.474882,0.000000,0,14-4-2023,10:48:54
GPS1,48.781944,11.474982,0.061733,0,14-4-2023,10:48:54
GPS2,48.781936,11.474869,0.010289,0,14-4-2023,10:48:58
GPS3,48.781944,11.474882,0.000000,0,14-4-2023,10:48:54
GPS1,48.781944,11.474982,0.061733,0,14-4-2023,10:48:54
GPS2,48.781932,11.474867,0.005144,0,14-4-2023,10:48:59
GPS3,48.781944,11.474882,0.005144,0,14-4-2023,10:48:55
GPS1,48.781944,11.474985,0.072022,0,14-4-2023,10:48:55
GPS2,48.781932,11.474867,0.005144,0,14-4-2023,10:48:59
GPS3,48.781944,11.474882,0.005144,0,14-4-2023,10:48:55
GPS1,48.781944,11.474985,0.072022,0,14-4-2023,10:48:55
GPS2,48.781932,11.474866,0.020578,0,14-4-2023,10:49:0
GPS3,48.781944,11.474883,0.000000,0,14-4-2023,10:48:56
GPS1,48.781948,11.474987,0.128611,0,14-4-2023,10:48:56
GPS2,48.781932,11.474866,0.020578,0,14-4-2023,10:49:0
GPS3,48.781944,11.474883,0.000000,0,14-4-2023,10:48:56
GPS1,48.781948,11.474987,0.128611,0,14-4-2023,10:48:56
GPS2,48.781929,11.474865,0.015433,0,14-4-2023,10:49:1
GPS3,48.781944,11.474883,0.000000,0,14-4-2023,10:48:57
GPS1,48.781948,11.474991,0.128611,0,14-4-2023,10:48:57
GPS2,48.781929,11.474865,0.015433,0,14-4-2023,10:49:1
GPS3,48.781944,11.474883,0.000000,0,14-4-2023,10:48:57
GPS1,48.781948,11.474991,0.128611,0,14-4-2023,10:48:57
GPS2,48.781925,11.474864,0.010289,0,14-4-2023,10:49:2
GPS3,48.781940,11.474883,0.000000,0,14-4-2023,10:48:58
GPS1,48.781951,11.474997,0.272656,0,14-4-2023,10:48:58
GPS2,48.781925,11.474864,0.010289,0,14-4-2023,10:49:2
GPS3,48.781940,11.474883,0.000000,0,14-4-2023,10:48:58
GPS1,48.781951,11.474997,0.272656,0,14-4-2023,10:48:58
GPS2,48.781921,11.474863,0.020578,0,14-4-2023,10:49:3
GPS3,48.781940,11.474883,0.000000,0,14-4-2023,10:48:59
GPS1,48.781955,11.474996,0.061733,0,14-4-2023,10:48:59
GPS2,48.781921,11.474863,0.020578,0,14-4-2023,10:49:3
GPS3,48.781940,11.474883,0.000000,0,14-4-2023,10:48:59
GPS1,48.781955,11.474996,0.061733,0,14-4-2023,10:48:59
GPS2,48.781921,11.474863,0.015433,13395,14-4-2023,10:49:4
GPS3,48.781940,11.474883,0.025722,13395,14-4-2023,10:49:0
GPS1,48.781959,11.474988,0.102889,13395,14-4-2023,10:49:0
GPS2,48.781921,11.474863,0.015433,13395,14-4-2023,10:49:4
GPS3,48.781940,11.474883,0.025722,13395,14-4-2023,10:49:0
GPS1,48.781959,11.474988,0.102889,13395,14-4-2023,10:49:0
GPS3,48.781940,11.474884,0.396122,4031,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,4031,14-4-2023,10:49:1
GPS2,48.781921,11.474864,0.349822,4031,14-4-2023,10:49:5
GPS1,48.781955,11.474986,0.360111,4031,14-4-2023,10:49:1
GPS2,48.781921,11.474864,0.349822,4031,14-4-2023,10:49:5
GPS3,48.781940,11.474884,0.396122,4031,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,4031,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS2,48.781921,11.474867,0.653344,9045,14-4-2023,10:49:6
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS2,48.781921,11.474867,0.653344,9045,14-4-2023,10:49:6
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:1
GPS3,48.781940,11.474884,0.396122,9045,14-4-2023,10:49:1
GPS1,48.781955,11.474986,0.360111,9045,14-4-2023,10:49:2
GPS1,48.781955,11.474986,0.360111,14580,14-4-2023,10:49:2
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS2,48.781917,11.474876,0.653344,14580,14-4-2023,10:49:7
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS3,48.781940,11.474898,0.396122,14580,14-4-2023,10:49:3
GPS1,48.781852,11.474862,0.360111,14580,14-4-2023,10:49:2
GPS2,48.781917,11.474876,0.653344,14580,14-4-2023,10:49:7
GPS2,48.781917,11.474876,0.653344,14580,14-4-2023,10:49:7
GPS1,48.781852,11.474862,0.360111,12315,14-4-2023,10:49:2
GPS2,48.781913,11.474883,0.607044,12315,14-4-2023,10:49:8
GPS3,48.781936,11.474905,0.643055,12315,14-4-2023,10:49:4
GPS1,48.781841,11.474864,0.756233,12315,14-4-2023,10:49:4
GPS2,48.781913,11.474883,0.607044,12315,14-4-2023,10:49:8
GPS3,48.781936,11.474905,0.643055,12315,14-4-2023,10:49:4
GPS1,48.781841,11.474864,0.756233,12315,14-4-2023,10:49:4
GPS2,48.781913,11.474880,0.884844,4856,14-4-2023,10:49:9
GPS3,48.781936,11.474914,0.715078,4856,14-4-2023,10:49:5
GPS1,48.781867,11.474870,0.859122,4856,14-4-2023,10:49:5
GPS2,48.781913,11.474880,0.884844,4856,14-4-2023,10:49:9
GPS3,48.781936,11.474914,0.715078,4856,14-4-2023,10:49:5
GPS1,48.781867,11.474870,0.859122,4856,14-4-2023,10:49:5
GPS2,48.781909,11.474887,0.576178,10770,14-4-2023,10:49:10
GPS3,48.781936,11.474923,0.745944,10770,14-4-2023,10:49:6
GPS1,48.781902,11.474898,0.745944,10770,14-4-2023,10:49:6
GPS2,48.781909,11.474887,0.576178,10770,14-4-2023,10:49:10
GPS3,48.781936,11.474923,0.745944,10770,14-4-2023,10:49:6
GPS1,48.781902,11.474898,0.745944,10770,14-4-2023,10:49:6
GPS2,48.781909,11.474903,0.720222,3225,14-4-2023,10:49:11
GPS3,48.781932,11.474932,0.864267,3225,14-4-2023,10:49:7
GPS1,48.781902,11.474914,1.136922,3225,14-4-2023,10:49:7
GPS2,48.781909,11.474903,0.720222,3225,14-4-2023,10:49:11
GPS3,48.781932,11.474932,0.864267,3225,14-4-2023,10:49:7
GPS1,48.781902,11.474914,1.136922,3225,14-4-2023,10:49:7
GPS2,48.781913,11.474917,0.848833,7230,14-4-2023,10:49:12
GPS3,48.781932,11.474945,0.848833,7230,14-4-2023,10:49:8
GPS1,48.781890,11.474927,1.090622,7230,14-4-2023,10:49:8
GPS2,48.781913,11.474917,0.848833,7230,14-4-2023,10:49:12
GPS3,48.781932,11.474945,0.848833,7230,14-4-2023,10:49:8
GPS1,48.781890,11.474927,1.090622,7230,14-4-2023,10:49:8
GPS2,48.781902,11.474926,0.956867,4241,14-4-2023,10:49:13
GPS3,48.781932,11.474956,0.941433,4241,14-4-2023,10:49:9
GPS1,48.781887,11.474935,0.946578,4241,14-4-2023,10:49:9
GPS2,48.781902,11.474926,0.956867,4241,14-4-2023,10:49:13
GPS3,48.781932,11.474956,0.941433,4241,14-4-2023,10:49:9
GPS1,48.781887,11.474935,0.946578,4241,14-4-2023,10:49:9
GPS2,48.781902,11.474940,1.080333,13530,14-4-2023,10:49:14
GPS3,48.781929,11.474967,0.792244,13530,14-4-2023,10:49:10
GPS1,48.781887,11.474942,0.956867,13530,14-4-2023,10:49:10
GPS2,48.781902,11.474940,1.080333,13530,14-4-2023,10:49:14
GPS3,48.781929,11.474967,0.792244,13530,14-4-2023,10:49:10
GPS1,48.781887,11.474942,0.956867,13530,14-4-2023,10:49:10
GPS2,48.781898,11.474947,0.998022,3360,14-4-2023,10:49:15
GPS3,48.781925,11.474978,0.807678,3360,14-4-2023,10:49:11
GPS1,48.781887,11.474952,0.962011,3360,14-4-2023,10:49:11
GPS2,48.781898,11.474947,0.998022,3360,14-4-2023,10:49:15
GPS3,48.781925,11.474978,0.807678,3360,14-4-2023,10:49:11
GPS1,48.781887,11.474952,0.962011,3360,14-4-2023,10:49:11
GPS2,48.781898,11.474955,0.781955,4875,14-4-2023,10:49:16
GPS3,48.781921,11.474987,0.889989,4875,14-4-2023,10:49:12
GPS1,48.781879,11.474963,0.951722,4875,14-4-2023,10:49:12
GPS2,48.781898,11.474955,0.781955,4875,14-4-2023,10:49:16
GPS3,48.781921,11.474987,0.889989,4875,14-4-2023,10:49:12
GPS1,48.781879,11.474963,0.951722,4875,14-4-2023,10:49:12
GPS2,48.781894,11.474968,0.648200,7320,14-4-2023,10:49:17
GPS3,48.781921,11.475000,1.064900,7320,14-4-2023,10:49:13
GPS1,48.781875,11.474973,0.982589,7320,14-4-2023,10:49:13
GPS2,48.781894,11.474968,0.648200,7320,14-4-2023,10:49:17
GPS3,48.781921,11.475000,1.064900,7320,14-4-2023,10:49:13
GPS1,48.781875,11.474973,0.982589,7320,14-4-2023,10:49:13
GPS2,48.781898,11.474972,0.920855,14910,14-4-2023,10:49:18
GPS3,48.781917,11.475013,1.162644,14910,14-4-2023,10:49:14
GPS1,48.781871,11.474987,1.239811,14910,14-4-2023,10:49:14
GPS2,48.781898,11.474972,0.920855,14910,14-4-2023,10:49:18
GPS3,48.781917,11.475013,1.162644,14910,14-4-2023,10:49:14
GPS1,48.781871,11.474987,1.239811,14910,14-4-2023,10:49:14
GPS2,48.781898,11.474987,1.049467,255,14-4-2023,10:49:19
GPS3,48.781913,11.475028,1.116344,255,14-4-2023,10:49:15
GPS1,48.781864,11.475001,1.188367,255,14-4-2023,10:49:15
GPS2,48.781898,11.474987,1.049467,255,14-4-2023,10:49:19
GPS3,48.781913,11.475028,1.116344,255,14-4-2023,10:49:15
GPS1,48.781864,11.475001,1.188367,255,14-4-2023,10:49:15
GPS2,48.781902,11.475001,1.085478,9030,14-4-2023,10:49:20
GPS3,48.781913,11.475042,1.023744,9030,14-4-2023,10:49:16
GPS1,48.781864,11.475013,1.044322,9030,14-4-2023,10:49:16
GPS2,48.781902,11.475001,1.085478,9030,14-4-2023,10:49:20
GPS3,48.781913,11.475042,1.023744,9030,14-4-2023,10:49:16
GPS1,48.781864,11.475013,1.044322,9030,14-4-2023,10:49:16
GPS2,48.781906,11.475019,1.167789,10065,14-4-2023,10:49:21
GPS3,48.781909,11.475055,0.905422,10065,14-4-2023,10:49:17
GPS1,48.781864,11.475024,0.946578,10065,14-4-2023,10:49:17
GPS2,48.781906,11.475019,1.167789,10065,14-4-2023,10:49:21
GPS3,48.781909,11.475055,0.905422,10065,14-4-2023,10:49:17
GPS1,48.781864,11.475024,0.946578,10065,14-4-2023,10:49:17
GPS2,48.781917,11.475046,0.941433,2141,14-4-2023,10:49:22
GPS3,48.781909,11.475067,0.956867,2141,14-4-2023,10:49:18
GPS1,48.781867,11.475034,0.977444,2141,14-4-2023,10:49:18
GPS2,48.781917,11.475046,0.941433,2141,14-4-2023,10:49:22
GPS3,48.781909,11.475067,0.956867,2141,14-4-2023,10:49:18
GPS1,48.781867,11.475034,0.977444,2141,14-4-2023,10:49:18
GPS2,48.781925,11.475066,0.874555,5790,14-4-2023,10:49:23
GPS3,48.781906,11.475079,1.013455,5790,14-4-2023,10:49:19
GPS1,48.781867,11.475047,1.028889,5790,14-4-2023,10:49:19
GPS2,48.781925,11.475066,0.874555,5790,14-4-2023,10:49:23
GPS3,48.781906,11.475079,1.013455,5790,14-4-2023,10:49:19
GPS1,48.781867,11.475047,1.028889,11685,14-4-2023,10:49:19
GPS2,48.781929,11.475080,1.044322,11685,14-4-2023,10:49:24
GPS3,48.781902,11.475091,1.090622,11685,14-4-2023,10:49:20
GPS1,48.781871,11.475064,1.116344,11685,14-4-2023,10:49:20
GPS2,48.781929,11.475080,1.044322,11685,14-4-2023,10:49:24
GPS3,48.781902,11.475091,1.090622,11685,14-4-2023,10:49:20
GPS1,48.781871,11.475064,1.116344,11685,14-4-2023,10:49:20
GPS2,48.781929,11.475096,1.054611,8700,14-4-2023,10:49:25
GPS3,48.781902,11.475107,1.234667,8700,14-4-2023,10:49:21
GPS1,48.781875,11.475079,1.116344,8700,14-4-2023,10:49:21
GPS2,48.781929,11.475096,1.054611,8700,14-4-2023,10:49:25
GPS3,48.781902,11.475107,1.234667,8700,14-4-2023,10:49:21
GPS1,48.781875,11.475079,1.116344,8700,14-4-2023,10:49:21
GPS2,48.781925,11.475109,1.090622,4245,14-4-2023,10:49:26
GPS3,48.781898,11.475121,1.023744,4245,14-4-2023,10:49:22
GPS1,48.781875,11.475094,1.142067,4245,14-4-2023,10:49:22
GPS2,48.781925,11.475109,1.090622,4245,14-4-2023,10:49:26
GPS3,48.781898,11.475121,1.023744,4245,14-4-2023,10:49:22
GPS1,48.781875,11.475094,1.142067,4245,14-4-2023,10:49:22
GPS2,48.781929,11.475122,0.853978,12285,14-4-2023,10:49:27
GPS3,48.781894,11.475133,0.926000,12285,14-4-2023,10:49:23
GPS1,48.781875,11.475106,0.936289,12285,14-4-2023,10:49:23
GPS2,48.781929,11.475122,0.853978,12285,14-4-2023,10:49:27
GPS3,48.781894,11.475133,0.926000,12285,14-4-2023,10:49:23
GPS1,48.781875,11.475106,0.936289,12285,14-4-2023,10:49:23
GPS2,48.781925,11.475133,0.987733,8985,14-4-2023,10:49:28
GPS3,48.781894,11.475146,1.136922,8985,14-4-2023,10:49:24
GPS1,48.781875,11.475118,1.049467,8985,14-4-2023,10:49:24
GPS2,48.781925,11.475133,0.987733,8985,14-4-2023,10:49:28
GPS3,48.781894,11.475146,1.136922,8985,14-4-2023,10:49:24
GPS1,48.781875,11.475118,1.049467,8985,14-4-2023,10:49:24
GPS2,48.781929,11.475152,1.131778,5910,14-4-2023,10:49:29
GPS3,48.781890,11.475155,0.910567,5910,14-4-2023,10:49:25
GPS1,48.781875,11.475131,0.951722,5910,14-4-2023,10:49:25
GPS2,48.781929,11.475152,1.131778,5910,14-4-2023,10:49:29
GPS3,48.781890,11.475155,0.910567,5910,14-4-2023,10:49:25
GPS1,48.781875,11.475131,0.951722,5910,14-4-2023,10:49:25
GPS2,48.781929,11.475165,0.884844,11385,14-4-2023,10:49:30
GPS3,48.781887,11.475166,0.895133,11385,14-4-2023,10:49:26
GPS1,48.781875,11.475143,0.895133,11385,14-4-2023,10:49:26
GPS2,48.781929,11.475165,0.884844,11385,14-4-2023,10:49:30
GPS3,48.781887,11.475166,0.895133,11385,14-4-2023,10:49:26
GPS1,48.781875,11.475143,0.895133,11385,14-4-2023,10:49:26
GPS2,48.781925,11.475178,1.234667,9405,14-4-2023,10:49:31
GPS3,48.781887,11.475177,0.879700,9405,14-4-2023,10:49:27
GPS1,48.781871,11.475152,0.781955,9405,14-4-2023,10:49:27
GPS2,48.781925,11.475178,1.234667,9405,14-4-2023,10:49:31
GPS3,48.781887,11.475177,0.879700,9405,14-4-2023,10:49:27
GPS1,48.781871,11.475152,0.781955,9405,14-4-2023,10:49:27
GPS2,48.781917,11.475193,0.766522,2205,14-4-2023,10:49:32
GPS3,48.781883,11.475189,1.023744,2205,14-4-2023,10:49:28
GPS1,48.781871,11.475165,0.962011,2205,14-4-2023,10:49:28
GPS2,48.781917,11.475193,0.766522,2205,14-4-2023,10:49:32
